Sl.no,Time_Stamp,Active_Server
1,09:11:54 AM : 19-12-2018,Primary
2,10:01:19 AM : 19-12-2018,Secondary
3,03:35:54 PM : 19-12-2018,Primary
4,03:37:51 PM : 19-12-2018,Secondary
5,11:43:07 AM : 20-12-2018,Primary
6,11:55:51 AM : 20-12-2018,Secondary
7,11:57:51 AM : 20-12-2018,Primary
8,12:19:23 PM : 20-12-2018,Secondary
9,12:27:05 PM : 20-12-2018,Primary
10,11:29:03 AM : 21-12-2018,Secondary
11,11:38:13 AM : 21-12-2018,Primary
12,02:13:56 PM : 21-12-2018,Secondary
13,02:19:33 PM : 28-12-2018,Primary
14,02:23:24 PM : 28-12-2018,Secondary
